name	techUnits 	techToAcc	accUnits 	price
Авт.вим. 1х6А	шт	1,00	шт	72,00
Авт.вим. 1х10А	шт	1,00	шт	72,00
Авт.вим. 3х25А	шт	1,00	шт	194,00
Авт.вим. 3х250А	шт	1,00	шт	3000,00
Транспорт Газель 	км	1,00	км	20,00
Транспорт Громадський	шт	1,00	шт	1000,00
Транспорт Нова пошта	шт	1,00	шт	1500,00
Добові Україна	шт	1,00	шт	500,00
Реле Relpol R3; AC220V	шт	1,00	шт	450,00
Реле Relpol R3; Клемна колодка GZT	шт	1,00	шт	105,06
Кінц.вим. ВП15М4221 	шт	1,00	шт	320,00
Клемна колодка, 10х2,5мм2	шт	0,10	шт	55,00
Лампа AD22-DS, AC220, Черв	шт	1,00	шт	30,00
Лампа AD22-DS, AC220, Зел	шт	1,00	шт	30,00
Лампа AD22-DS, AC220, Жов	шт	1,00	шт	30,00
Гермоввод PG9, пластик	шт	1,00	шт	6,00
Гермоввод PG9, латунь	шт	1,00	шт	35,00
Гермоввод PG18, пластик	шт	1,00	шт	13,40
Гермоввод PG42, пластик	шт	1,00	шт	48,00
'Роз''єднувач РЕ19-43-31140 (рубильник)'	шт	1,00	шт	10400,00
Вилка AC220V, 1ф, 2х16А + GND	шт	1,00	шт	55,00
Аналізатор парам.мережі ТРМ-01ESH	шт	1,00	шт	2600,00
Трансформатор току ТТИ-100 1600/5А	шт	1,00	шт	2142,00
Запобіжник плавкий 5А; д3х10	шт	1,00	шт	10,00
Термостат KSD301-100h; 100C; НЗ; 220V10A 	шт	1,00	шт	22,80
Терморег. ТРП-08-ТП-Щ1 	шт	1,00	шт	1800,00
Терморег. ТРП-08-ТП-Щ1  + RS-485	шт	1,00	шт	2400,00
Терморег. ТРП-08-ТП-Щ2	шт	1,00	шт	1700,00
Терморег. ТРП-08-ТП-Щ2  + RS-485	шт	1,00	шт	
Терморег. ТРП-09-ТП-Щ2	шт	1,00	шт	
Терморег. ТРП-09-ТП-Щ1  + RS-485	шт	1,00	шт	2600,00
Перетворювач RS485-USB	шт	1,00	шт	2100,00
Вентилятор ВН-2; 220В; 115х115	шт	1,00	шт	300,00
Вентилятор PTF1500 з фільтром та реш.  160х160	шт	1,00	шт	729,60
Вентилятор ВЦ-4-75-N2,5; 0,55кВт; 1500об/хв	шт	1,00	шт	7000,00
Роз’єм  RJ-45 мама, на панель	шт	1,00	шт	200,00
Роз’єм RJ-45 папа, на кабель	шт	1,00	шт	7,00
Роз’єм RJ45. Ковпачок	шт	1,00	шт	1,30
Кабель мережевий LAN F/UTP-cat5E 4х2 зовнішній	м	1,00	м	15,80
Перемикач з ключем BSW10-AKS-2-K02 АKS-22; 1НВ+1НЗ	шт	1,00	шт	202,40
Перемикач клавішн. з підсв.; Зел; On/Off; AE-C1353ABNAB	шт	1,00	шт	250,00
Кнопка S2PR-P1K. Нажимна; чорна.	шт	1,00	шт	37,85
Кнопка S2PR-P1K. Контакт НО SA-CA	шт	1,00	шт	50,35
