name	techUnits 	accUnits 	techToAcc	weightTech
кутн 25х25х3; Ст	м	кг	1,29	1,29
кутн 25х25х4; Ст	м	кг	1,53	1,53
кутн 40х40х3; Ст	м	кг	2,05	2,05
кутн 40х40х4; Ст	м	кг	2,6	2,6
кутн 50х50х3; Ст	м	кг	2,44	2,44
кутн 50х50х4; Ст	м	кг	3,21	3,21
кутн 50х50х5; Ст	м	кг	3,96	3,96
кутн 50х50х6; Ст	м	кг	4,69	4,69
кутн 63х63х5; Ст	м	кг	5,1	5,1
кутн 63х63х6; Ст	м	кг	6	6
кутн 75х75х5; Ст	м	кг	6,19	6,19
кутн 75х75х6; Ст	м	кг	7,23	7,23
кутн 75х75х8; Ст	м	кг	9,48	9,48
кутн 100х100х7; Ст	м	кг	11,33	11,33
кутн 100х100х8; Ст	м	кг	12,86	12,86
кутн 100х100х10; Ст	м	кг	15,86	15,86
кутн 25х25х3; 304S	м	кг	1,29	1,29
кутн 40х40х3; 304S	м	кг	2,05	2,05
кутн 50х50х4; 304S	м	кг	3,21	3,21
кутн 63х63х5; 304S	м	кг	5,1	5,1
круг 6; Ст	м	кг	0,23	0,23
круг 8; Ст	м	кг	0,42	0,42
круг 10; Ст	м	кг	0,64	0,64
круг 12; Ст	м	кг	0,94	0,94
круг 14; Ст	м	кг	1,26	1,26
круг 16; Ст	м	кг	1,65	1,65
круг 18; Ст	м	кг	2,1	2,1
круг 20; Ст	м	кг	2,58	2,58
круг 25; Ст	м	кг	4,04	4,04
круг 30; Ст	м	кг	5,83	5,83
круг 40; Ст	м	кг	10,35	10,35
круг 60; Ст	м	кг	23,31	23,31
круг 70; Ст	м	кг	31,12	31,12
круг 80; Ст	м	кг	41,43	41,43
круг 100; Ст	м	кг	64,5	64,5
круг 110; Ст	м	кг	78,33	78,33
круг 6; 304S	м	кг	0,23	0,23
круг 8; 304S	м	кг	0,42	0,42
круг 10; 304S	м	кг	0,64	0,64
круг 12; 304S	м	кг	0,94	0,94
круг 14; 304S	м	кг	1,26	1,26
круг 16; 304S	м	кг	1,65	1,65
круг 18; 304S	м	кг	2,1	2,1
круг 20; 304S	м	кг	2,58	2,58
круг 25; 304S	м	кг	4,04	4,04
круг 30; 304S	м	кг	5,83	5,83
круг 40; 304S	м	кг	10,35	10,35
круг 60; 304S	м	кг	23,31	23,31
круг 70; 304S	м	кг	31,12	31,12
круг 80; 304S	м	кг	41,43	41,43
круг 100; 304S	м	кг	64,5	64,5
круг 110; 304S	м	кг	78,33	78,33
лист 0,8мм; 1х2м; Ст	м2	кг	6,28	6,28
лист 0,8мм; 1,25х2,5м; Ст	м2	кг	6,28	6,28
лист 1,0мм; 1х2м; Ст	м2	кг	7,85	7,85
лист 1,0мм; 1,25х2,5м; Ст	м2	кг	7,85	7,85
лист 1,5мм; 1х2м; Ст	м2	кг	11,775	11,775
лист 1,5мм; 1,25х2,5м; Ст	м2	кг	11,775	11,775
лист 3мм; 1,25х2,5м; Ст	м2	кг	23,55	23,55
лист 5мм; 1,5х6м; Ст	м2	кг	39,25	39,25
лист 6мм; 1,5х6м; Ст	м2	кг	47,1	47,1
лист 8мм; 1,5х6м; Ст	м2	кг	62,8	62,8
лист 10мм; 1,5х6м; Ст	м2	кг	78,5	78,5
лист 0,8мм; 1х2м; 304S	м2	кг	6,28	6,28
лист 0,8мм; 1,25х2,5м; 304S	м2	кг	6,28	6,28
лист 1,0мм; 1х2м; 304S	м2	кг	7,85	7,85
лист 1,0мм; 1,25х2,5м; 304S	м2	кг	7,85	7,85
лист 1,5мм; 1х2м; 304S	м2	кг	11,775	11,775
лист 1,5мм; 1,25х2,5м; 304S	м2	кг	11,775	11,775
лист 3мм; 1,25х2,5м; 304S	м2	кг	23,55	23,55
лист 5мм; 1,5х6м; 304S	м2	кг	39,25	39,25
лист 6мм; 1,5х6м; 304S	м2	кг	47,1	47,1
лист 8мм; 1,5х6м; 304S	м2	кг	62,8	62,8
лист 10мм; 1,5х6м; 304S	м2	кг	78,5	78,5
лист 2мм; 1,25х2,5м; 310S	м2	кг	15,7	15,7
лист 3мм; 1,25х2,5м; 310S	м2	кг	23,55	23,55
лист 5мм; 1,5х6м; 310S	м2	кг	39,25	39,25
лист 6мм; 1,5х6м; 310S	м2	кг	47,1	47,1
лист 8мм; 1,5х6м; 310S	м2	кг	62,8	62,8
лист 10мм; 1,5х6м; 310S	м2	кг	78,5	78,5
